0_deg,,7.5_deg,,22.5_deg,
X,Y,X,Y,X,Y
0,0,0,0,0,0
2.294455067,0.098567275,0.764818356,0.043814663,3.059273423,0.032792897
8.413001912,0.372372247,11.85468451,0.312003981,11.08986616,0.142161921
13.7667304,0.618800911,22.17973231,0.443227953,18.35564054,0.207716284
16.82600382,0.711867781,30.59273423,0.388202939,26.76864245,0.212965243
22.17973231,0.75555672,39.38814532,0.207140051,37.09369025,0.108572776
28.29827916,0.651279499,50.47801147,0.113685534,55.06692161,0.042326934
34.416826,0.49768721,66.53919694,0.036533173,77.6290631,0.014311533
43.59464627,0.311134393,95.21988528,0.013829592,92.54302103,0.019382383
57.74378585,0.13540428,136.1376673,0.067503078,115.8699809,0.013263836
78.39388145,0.080044003,167.8776291,0.176222531,139.9617591,0.007124335
102.1032505,0.079394431,191.5869981,0.290641452,167.4952199,0.028287802
122.7533461,0.111705388,215.6787763,0.416008801,192.7342256,0.060473035
146.0803059,0.160381361,235.9464627,0.541480919,213.7667304,0.076335158
175.1434034,0.307530318,254.6845124,0.699871657,236.7112811,0.152418869
199.2351816,0.498651091,273.8049713,0.978799864,260.4206501,0.250399434
227.1510516,0.782817779,286.8068834,1.230498442,287.1892925,0.342816732
244.7418738,1.023431729,298.6615679,1.569899683,310.8986616,0.429838393
261.1854685,1.433940124,307.8393881,1.892935907,321.2237094,0.440514419
274.5697897,1.937683019,318.1644359,2.232379057,341.873805,0.374195238
284.5124283,2.457958564,330.0191205,2.467670709,359.082218,0.258655282
291.7782027,2.90707457,337.2848948,2.549663428,381.2619503,0.088184604
299.4263862,3.416454072,346.4627151,2.450781843,400,0
305.9273423,3.838193771,352.9636711,2.247864009,,
312.8107075,4.254443542,359.082218,1.962764871,,
321.9885277,4.566520862,364.0535373,1.743450588,,
329.6367113,4.610146939,369.0248566,1.463862333,,
338.8145315,4.500306451,377.0554493,1.030765604,,
344.5506692,4.21521779,387.3804971,0.685277247,,
347.9923518,3.858959114,400.3824092,0.399989523,,
352.581262,3.447874486,417.9732314,0.207726761,,
357.5525813,2.949108148,430.210325,0.147117525,,
364.0535373,2.400984835,455.4493308,0.102590429,,
371.3193117,1.852840567,481.8355641,0.151182587,,
378.2026769,1.364980749,499.4263862,0.189056811,,
389.292543,0.964676917,516.6347992,0.150229184,,
404.5889101,0.630011263,534.6080306,0,,
419.1204589,0.470709029,,,,
435.9464627,0.382576809,,,,
455.83174,0.239566254,,,,
475.7170172,0.134911863,,,,
534.6080306,0,,,,
