y_th,,k_th,
X,Y,X,Y
0,1,0,1
0.322580645,0.997816594,0.230414747,0.997816594
5.299539171,1.006550218,4.746543779,1.002183406
10,1.032751092,9.723502304,1.015283843
15.25345622,1.093886463,15.99078341,1.063318777
19.86175115,1.172489083,20.32258065,1.098253275
25.20737327,1.294759825,25.29953917,1.172489083
30.55299539,1.438864629,30.2764977,1.237991266
35.52995392,1.596069869,35.52995392,1.299126638
40.23041475,1.73580786,40.04608295,1.334061135
44.65437788,1.871179039,45.39170507,1.325327511
50,1.993449782,49.8156682,1.294759825
55.80645161,2.076419214,54.79262673,1.189956332
60.04608295,2.06768559,60.32258065,1.019650655
65.20737327,1.954148472,63.4562212,0.906113537
69.7235023,1.757641921,67.32718894,0.727074236
73.41013825,1.530567686,70.1843318,0.600436681
77.46543779,1.233624454,73.77880184,0.425764192
79.76958525,1.006550218,77.18894009,0.286026201
82.53456221,0.687772926,80.23041475,0.168122271
84.83870968,0.390829694,84.74654378,0.045851528
87.51152074,0.168122271,89.9078341,0.015283843
90,0,90,0
